time,step,vehicle_count,av_count,gasoline_count,total_stops,total_co2,gasoline_co2,av_co2
245.0,245,0,0,2,15,7645.1283179940565,7645.1283179940565,0.0
246.0,246,0,0,2,15,7647.855652754483,7647.855652754483,0.0
247.0,247,0,0,2,15,7652.550512901896,7652.550512901896,0.0
248.0,248,0,0,2,15,7652.550512901896,7652.550512901896,0.0
249.0,249,0,0,2,15,7659.366471611025,7659.366471611025,0.0
250.0,250,0,0,2,15,7660.941351996823,7660.941351996823,0.0
251.0,251,0,0,2,15,7665.940591498788,7665.940591498788,0.0
252.0,252,0,0,2,15,7669.290588641383,7669.290588641383,0.0
253.0,253,0,0,2,15,7675.38455644866,7675.38455644866,0.0
254.0,254,0,0,2,15,7676.994655499588,7676.994655499588,0.0
255.0,255,0,0,2,15,7681.417720443687,7681.417720443687,0.0
256.0,256,0,0,2,15,7685.648592084952,7685.648592084952,0.0
257.0,257,0,0,2,15,7691.535332842254,7691.535332842254,0.0
258.0,258,0,0,2,15,7695.662440879578,7695.662440879578,0.0
259.0,259,0,0,2,15,7698.4597959934645,7698.4597959934645,0.0
260.0,260,0,0,2,15,7701.624549798758,7701.624549798758,0.0
261.0,261,0,0,2,15,7705.951962580931,7705.951962580931,0.0
262.0,262,0,0,2,15,7710.376710257502,7710.376710257502,0.0
263.0,263,0,0,2,15,7710.376710257502,7710.376710257502,0.0
264.0,264,0,0,2,15,7716.830007870833,7716.830007870833,0.0
265.0,265,0,0,2,15,7721.584407934062,7721.584407934062,0.0
266.0,266,0,0,2,15,7726.139222701847,7726.139222701847,0.0
267.0,267,0,0,2,15,7728.135541966438,7728.135541966438,0.0
268.0,268,0,0,2,15,7729.954667079198,7729.954667079198,0.0
269.0,269,0,0,2,15,7735.6894961192065,7735.6894961192065,0.0
270.0,270,0,0,2,15,7738.241200176298,7738.241200176298,0.0
271.0,271,0,0,2,15,7741.449889622824,7741.449889622824,0.0
272.0,272,0,0,2,15,7750.133885235013,7750.133885235013,0.0
273.0,273,0,0,2,15,7759.395505131262,7759.395505131262,0.0
274.0,274,0,0,2,15,7765.0487888685775,7765.0487888685775,0.0
275.0,275,0,0,2,15,7776.672187009833,7776.672187009833,0.0
276.0,276,0,0,2,15,7780.73894320265,7780.73894320265,0.0
277.0,277,0,0,2,15,7786.516764587447,7786.516764587447,0.0
278.0,278,0,0,2,15,7786.516764587447,7786.516764587447,0.0
279.0,279,0,0,2,15,7795.187445238275,7795.187445238275,0.0
280.0,280,0,0,2,15,7795.187445238275,7795.187445238275,0.0
281.0,281,0,0,2,15,7799.663499755187,7799.663499755187,0.0
282.0,282,0,0,2,15,7805.607838245109,7805.607838245109,0.0
283.0,283,0,0,2,15,7814.315662643718,7814.315662643718,0.0
